Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
5-Jan-2011,16,0,0,2
6-Jan-2011, M, M, M, M
7-Jan-2011,11.5,0,0,1
8-Jan-2011,11,0.1,2,3
9-Jan-2011,25, T,1,4
10-Jan-2011,26,0,0,2
11-Jan-2011,24.5,0,0,2
12-Jan-2011,23.5, T, T,1
13-Jan-2011,24.5,0.32,3,3
14-Jan-2011,25.5, T, T,3
15-Jan-2011,12.5,0,0,3
16-Jan-2011,11,0.05,1,4
17-Jan-2011,12,0,0,4
18-Jan-2011,2.5,0,0,3
19-Jan-2011,14.5,0.47,4.5,7
20-Jan-2011,20.5,0.03,1,7
21-Jan-2011,9, T, T,7
22-Jan-2011,8,0.75,10.5,17
23-Jan-2011,1,0,0,16
24-Jan-2011,-2.5,0,0,16
25-Jan-2011,-7,0,0,15
26-Jan-2011,-1.5,0.01,0.5,16
27-Jan-2011,10.5,0,0,14
28-Jan-2011,10,0.01,0.5,12
29-Jan-2011,14, T, T,11
30-Jan-2011,18, T,0.3,11
31-Jan-2011,12,0,0,11
1-Feb-2011,5.5,0,0,11
2-Feb-2011,6.5,0.06,0.5,12
3-Feb-2011,5,0.5,7,19
4-Feb-2011,6.5,0,0,18
5-Feb-2011,9,0,0,18
6-Feb-2011,17,1.2,10,26
7-Feb-2011,20,0,0,24
8-Feb-2011,22.5,0.14,1,25
9-Feb-2011,14.5,0.17,1.5,25
10-Feb-2011,7.5, T, T,24
11-Feb-2011,2,0,0,24
12-Feb-2011,2.5,0,0,24
13-Feb-2011,12.5,0,0,23
14-Feb-2011,15, T, T,23
15-Feb-2011,21,0.21,2,23
16-Feb-2011,11,0,0,22
17-Feb-2011,20,0,0,22
18-Feb-2011,32, T,0,21
19-Feb-2011,27,0.09, T,19
20-Feb-2011,25, T, T,19
21-Feb-2011,16.5,0,0,19
22-Feb-2011,11.5,0,0,19
23-Feb-2011,18,0,0,18
24-Feb-2011,13.5,0,0,18
25-Feb-2011,13.5,0,0,18
26-Feb-2011,19,0.46,6,24
27-Feb-2011,6, T, T,24
28-Feb-2011,12.5, T, T,24
1-Mar-2011,22.5,0.54,6,30
2-Mar-2011,11.5,0,0,29
3-Mar-2011,18.5, T, T,28
4-Mar-2011,0.5,0,0,27
5-Mar-2011,6, T, T,27
6-Mar-2011,34,0.73,0,22
7-Mar-2011,35,2.14,3,22
8-Mar-2011,24,0.65,0.5,23
9-Mar-2011,16,0,0,22
10-Mar-2011,12.5, T, T,22
11-Mar-2011,26,0.17,2,23
12-Mar-2011,38,0.9, T,21
13-Mar-2011,38, T,0,20
14-Mar-2011,35,0,0,20
15-Mar-2011,22.5,0,0,19
16-Mar-2011,24.5,0,0,19
17-Mar-2011,34,0.23,0.5,19
18-Mar-2011,39.5, T,0,18
19-Mar-2011,39, T,0,16
20-Mar-2011,25.5,0,0,16
21-Mar-2011,26,0,0,15
22-Mar-2011,24.5,0.24,3,18
23-Mar-2011,30,0.19,2,18
24-Mar-2011,27.5,0.12,2,19
25-Mar-2011,22.5,0,0,18
26-Mar-2011,22.5,0,0,17
27-Mar-2011,22,0,0,16
28-Mar-2011,23.5,0,0,16
29-Mar-2011,27.5,0,0,15
30-Mar-2011,35,0,0,14
31-Mar-2011,31.5,0,0,12
1-Apr-2011,35.5,0,0,11
2-Apr-2011,32,0.85,13.5,24
3-Apr-2011,37, T, T,18
4-Apr-2011,34,0,0,14
5-Apr-2011,33.5,0.34,0.5,14
6-Apr-2011,36,0.2, T,13
7-Apr-2011,30,0,0,13
8-Apr-2011,28.5,0,0,12
9-Apr-2011,32,0,0,10
10-Apr-2011,38.5,0,0,9
11-Apr-2011,41.5, T,0,6
12-Apr-2011,47,0.15,0,2
13-Apr-2011,41,0,0,0
14-Apr-2011,30,0.76,0,0
15-Apr-2011,36.5, T,0,0
16-Apr-2011,27.5,0,0,0
17-Apr-2011,31,0.15,0,0
18-Apr-2011,40.5,0.93,0,0
19-Apr-2011,39,0,0,0
20-Apr-2011,38.5,0,0,0
21-Apr-2011,31.5,0.67,0.5,1
22-Apr-2011,34.5, T, T,0
23-Apr-2011,40,0,0,0
24-Apr-2011,36,0.21,0,0
25-Apr-2011,41.5,0,0,0
26-Apr-2011,46,0.11,0,0
27-Apr-2011,47,0.25,0,0
28-Apr-2011,42,0.12,0,0
29-Apr-2011,52.5,0.08,0,0
